nombre;razon_social;tipo_sociedad;correo;id_qb;ruc;dv;nit;pago_tasa_unica;fecha_inscripcion;created_at;client_id;presidente_id;tesorero_id;secretario_id
2 BROTHERS CONSTRUNEXT INC.;2 BROTHERS CONSTRUNEXT INC.;SOCIEDADES;juanczuleta@yahoo.com;220;;;;;;01/19/2026 13:32;a6400455-2ba0-42be-a7d0-753cec885719;;;
2M INVESTMENT TRADEN CORP.;2M INVESTMENT TRADEN CORP.;SOCIEDADES;;1041;;;;;;01/19/2026 13:32;2d11426f-73c0-4a9d-aac2-e675056509c4;;;
3M COMMERCIAL GROUP;3M COMMERCIAL GROUP;SOCIEDADES;;509;;;;;;01/19/2026 13:32;bd9571dd-27ea-41c0-88d5-7af82fa067d3;;;
3SECENTA INTERNATIONAL GROUP CORP;3SECENTA INTERNATIONAL GROUP CORP;SOCIEDADES;juanczuleta@yahoo.com;1081;155640797-2-2016;47;JCZULETA2024;;12/01/2016;01/19/2026 13:32;a6400455-2ba0-42be-a7d0-753cec885719;;;
5INCO INTERNATIONAL GROUP CORP.;5INCO INTERNATIONAL GROUP CORP.;SOCIEDADES;juanczuleta@yahoo.com;1080;155640795-2-2016;67;JCZULETA2024;;10/29/2019;01/19/2026 13:32;a6400455-2ba0-42be-a7d0-753cec885719;e9244c9c-97e9-48e8-a72b-f5e1d01f1b51;d95af47a-13f5-4542-ba01-ac156fce4a46;8c8409d2-f099-4880-86a1-9f3d45689c46
5INCO PLUS FOUNDATION;5INCO PLUS FOUNDATION;FUNDACIONES;juanczuleta@yahoo.com;508;;;;;;01/19/2026 13:32;a6400455-2ba0-42be-a7d0-753cec885719;;;
86 FARENHEITH DE PANAMA, S.A.;86 FARENHEITH DE PANAMA, S.A.;SOCIEDADES;;83;;;;;;01/19/2026 13:32;495eed20-eb3e-44b8-866a-59347b7785e9;;;
ABAJOMI CORP. SHELF;ABAJOMI CORP. SHELF;SOCIEDADES;toni26@toni26.com;1100;;;;;;01/19/2026 13:32;3db79625-571d-4f26-a461-e539df6537b5;;;
ABASA GROUP CORP.;ABASA GROUP CORP.;SOCIEDADES;jcadavid@prosein.com;109;;;;;;01/19/2026 13:32;627d1995-78ea-4989-a4ce-923ef082e5be;;;
ABUBAKAR CORPORATION;ABUBAKAR CORPORATION;SOCIEDADES;administracion@ancori.com;408;;;;;;01/19/2026 13:32;6b2fc948-e1cc-4026-a551-0efc47c5bcad;;;
ABUJA INTERNATIONAL CORP.;ABUJA INTERNATIONAL CORP.;SOCIEDADES;ayalraz@yahoo.com;219;;;;;;01/19/2026 13:33;85160858-fab6-444b-86fc-9130c2299942;;;
ACCRA INVESTMENT SERVICES, CORP.;ACCRA INVESTMENT SERVICES, CORP.;SOCIEDADES;salvadora.vado@gmail.com;112;;;;;;01/19/2026 13:33;f37a0cc4-089b-4c7f-a7a4-bd6fa929baa7;;;
ACG COMMERCIAL GROUP CORP.;ACG COMMERCIAL GROUP CORP.;SOCIEDADES;fivestargroup@hotmail.com;262;;;;;;01/19/2026 13:33;d8ed4f1e-3f9d-4c91-9ec1-706aa194374a;;;
ACN, S.A.;ACN, S.A.;SOCIEDADES;;1030;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
ACTIVESOFT INTERNATIONAL, S.A.;ACTIVESOFT INTERNATIONAL, S.A.;SOCIEDADES;jairoyateconsultores.jyate@ygconsultores.com.co;210;;;;;;01/19/2026 13:33;24898632-a5ca-4fb5-afbe-04f1f8a87425;;;
AFLAMARK CORP.;AFLAMARK CORP.;SOCIEDADES;;557;;;;;;01/19/2026 13:33;def49bc5-8da7-4e7a-a697-d070ad15f4fb;;;
AGATA INVESTMENTS, INC.;AGATA INVESTMENTS, INC.;SOCIEDADES;samuel_vainberg@yahoo.com;174;;;;;;01/19/2026 13:33;aee5cd66-e2fd-4a07-a4e2-328045ce143f;;;
AGRO FERTIL PANAMA, S.A.;AGRO FERTIL PANAMA, S.A.;SOCIEDADES;;873;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AGROINDUSTRIAS INTERNACIONAL PANAMA S.A;AGROINDUSTRIAS INTERNACIONAL PANAMA S.A;SOCIEDADES;;878;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AGUASEO, S.A. 1;AGUASEO, S.A. 1;SOCIEDADES;;753;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AIRKEM DE PANAMA, S.A.;AIRKEM DE PANAMA, S.A.;SOCIEDADES;;1011;;;;;;01/19/2026 13:33;460fff71-8b01-41b1-8c24-6b01534b22cb;;;
AIS TECH GLOBAL, S.A.;AIS TECH GLOBAL, S.A.;SOCIEDADES;ga@pinberai.com;542;;;;;;01/19/2026 13:33;6f06acb6-695e-48d3-b716-7ec8b2778e6b;;;
